"ProdLine","ItemNumber","Description","StdPrice","Multiplier","Price","ProdLinePricing","BreakQty1","PriceRate1","BreakQty2","PriceRate2","BestPrice"
"AMEC","12203-0070A","Index Washer Kit (2)",4.00,"0.5166 ",2.07,0.00,0.00,0.00,0.00,0.00,2.07
"AMEC","12205-0070A","Red & Blue Hdle Ring Kit",4.00,"0.5166 ",2.07,0.00,0.00,0.00,0.00,0.00,2.07
"AMEC","12218-0070A","Index Kit (3)",4.80,"0.5166 ",2.48,0.00,0.00,0.00,0.00,0.00,2.48
"AMEC","12232-0030A","MC VP Index Cap",6.57,"0.5166 ",3.39,0.00,0.00,0.00,0.00,0.00,3.39
"AMEC","12243-0020A","CP VP Index Cap",5.00,"0.5166 ",2.58,0.00,0.00,0.00,0.00,0.00,2.58
"AMEC","12243-0030A","MC VP Index Cap",6.57,"0.5166 ",3.39,0.00,0.00,0.00,0.00,0.00,3.39
"AMEC","12244-0070A","Spt Seal Kit",5.20,"0.5166 ",2.69,0.00,0.00,0.00,0.00,0.00,2.69
"AMEC","12245-0020A","CP Hdle Kit (2)",48.00,"0.5166 ",24.80,0.00,0.00,0.00,0.00,0.00,24.80
"AMEC","12253-0070A","VP Hdle Screw (2)",3.70,"0.5166 ",1.91,0.00,0.00,0.00,0.00,0.00,1.91
"AMEC","12254-0020A","CP Hdle Screw (2)",3.10,"0.5166 ",1.60,0.00,0.00,0.00,0.00,0.00,1.60
"AMEC","12254-0990A","PB Hdle Screw (2)",11.29,"0.5166 ",5.83,0.00,0.00,0.00,0.00,0.00,5.83
"AMEC","12256-0070A","Seal & Bearing Kit",10.00,"0.5166 ",5.17,0.00,0.00,0.00,0.00,0.00,5.17
"AMEC","12258-0990A","PB Conn Post Kit",22.58,"0.5166 ",11.66,0.00,0.00,0.00,0.00,0.00,11.66
"AMEC","12263-0020A","CP Soap Dish",11.91,"0.5166 ",6.15,0.00,0.00,0.00,0.00,0.00,6.15
"AMEC","12263-0990A","PB Soap Dish",19.40,"0.5166 ",10.02,0.00,0.00,0.00,0.00,0.00,10.02
"AMEC","12264-0070A","Retainer Kit",55.70,"0.5166 ",28.77,0.00,0.00,0.00,0.00,0.00,28.77
"AMEC","12266-0020A","8"" Spt Kit",67.40,"0.5166 ",34.82,0.00,0.00,0.00,0.00,0.00,34.82
"AMEC","12266-0990A","PB Spt Kit",96.31,"0.5166 ",49.75,0.00,0.00,0.00,0.00,0.00,49.75
"AMEC","12268-0700","Plug",2.34,"0.5166 ",1.21,0.00,0.00,0.00,0.00,0.00,1.21
"AMEC","12278-0020A","12"" Spt S/A",67.20,"0.5166 ",34.72,0.00,0.00,0.00,0.00,0.00,34.72
"AMEC","12278-0990A","PB Spt Kit",43.68,"0.5166 ",22.57,0.00,0.00,0.00,0.00,0.00,22.57
"AMEC","12288-0020A","CP Esch",11.80,"0.5166 ",6.10,0.00,0.00,0.00,0.00,0.00,6.10
"AMEC","12288-0200A","WH Esch",11.70,"0.5166 ",6.04,0.00,0.00,0.00,0.00,0.00,6.04
"AMEC","12288-0210A","BN Esch",10.97,"0.5166 ",5.67,0.00,0.00,0.00,0.00,0.00,5.67
"AMEC","12288-0680A","Blackened Bronze Esch",22.00,"0.5166 ",11.37,0.00,0.00,0.00,0.00,0.00,11.37
"AMEC","12288-2950A","Satin Esch",11.60,"0.5166 ",5.99,0.00,0.00,0.00,0.00,0.00,5.99
"AMEC","12297-0070A","Fixation Plate Kit",5.60,"0.5166 ",2.89,0.00,0.00,0.00,0.00,0.00,2.89
"AMEC","12314-0020A","CP Valve Cover",4.30,"0.5166 ",2.22,0.00,0.00,0.00,0.00,0.00,2.22
"AMEC","12314-0200A","WH Valve Cover",12.00,"0.5166 ",6.20,0.00,0.00,0.00,0.00,0.00,6.20
"AMEC","12314-0210A","BN Valve Cover",9.18,"0.5166 ",4.74,0.00,0.00,0.00,0.00,0.00,4.74
"AMEC","12314-0680A","Blackened Bronze Valve Cover",17.50,"0.5166 ",9.04,0.00,0.00,0.00,0.00,0.00,9.04
"AMEC","12314-2950A","Satin Valve Cover",6.20,"0.5166 ",3.20,0.00,0.00,0.00,0.00,0.00,3.20
"AMEC","12316-0070A","xfer Stem S/A",40.00,"0.5166 ",20.66,0.00,0.00,0.00,0.00,0.00,20.66
"AMEC","12325-0070A","xfer Valve Seal Kit",12.50,"0.5166 ",6.46,0.00,0.00,0.00,0.00,0.00,6.46
"AMEC","1233-2200","Cplg Nut",6.97,"0.5166 ",3.60,0.00,0.00,0.00,0.00,0.00,3.60
"AMEC","12336-0020A","xfer Valve Seat Kit",4.20,"0.5166 ",2.17,0.00,0.00,0.00,0.00,0.00,2.17
"AMEC","12337-0020A","Housing Kit",19.03,"0.5166 ",9.83,0.00,0.00,0.00,0.00,0.00,9.83
"AMEC","1234-2210","CP Cold Index",2.95,"0.5166 ",1.52,0.00,0.00,0.00,0.00,0.00,1.52
"AMEC","1234-2230","CP Hot Index",2.95,"0.5166 ",1.52,0.00,0.00,0.00,0.00,0.00,1.52
"AMEC","12345-0070A","HorC Ceramic Cart",20.60,"0.5166 ",10.64,0.00,0.00,0.00,0.00,0.00,10.64
"AMEC","1235-2700","Cam",8.66,"0.5166 ",4.47,0.00,0.00,0.00,0.00,0.00,4.47
"AMEC","12470-0020A","CP End Cap",2.50,"0.5166 ",1.29,0.00,0.00,0.00,0.00,0.00,1.29
"AMEC","1248-0100","Screw",1.03,"0.5166 ",0.53,0.00,0.00,0.00,0.00,0.00,0.53
"AMEC","12498-0070A","Tee",55.00,"0.5166 ",28.41,0.00,0.00,0.00,0.00,0.00,28.41
"AMEC","125-0700","Washer",0.60,"0.5166 ",0.31,0.00,0.00,0.00,0.00,0.00,0.31
"AMEC","12577-0020A","Aerator",4.57,"0.5166 ",2.36,0.00,0.00,0.00,0.00,0.00,2.36
"AMEC","1263-2700","Screw",0.40,"0.5166 ",0.21,0.00,0.00,0.00,0.00,0.00,0.21
"AMEC","12649-0070A","Hdle Adpt",2.60,"0.5166 ",1.34,0.00,0.00,0.00,0.00,0.00,1.34
"AMEC","12650-0020A","LG CP VP Index Kit (3)",19.91,"0.5166 ",10.29,0.00,0.00,0.00,0.00,0.00,10.29
"AMEC","12651-0020A","LG CP VP Index Kit (2)",15.07,"0.5166 ",7.79,0.00,0.00,0.00,0.00,0.00,7.79
"AMEC","12651-0030A","LG MC VP Index Kit (2)",16.81,"0.5166 ",8.68,0.00,0.00,0.00,0.00,0.00,8.68
"AMEC","12652-0020A","SM CP VP Index Kit (2)",27.00,"0.5166 ",13.95,0.00,0.00,0.00,0.00,0.00,13.95
"AMEC","12652-0030A","SM MC VP Index Kit (2)",16.81,"0.5166 ",8.68,0.00,0.00,0.00,0.00,0.00,8.68
"AMEC","12652-0990A","SM PB VP Index Kit (2)",19.45,"0.5166 ",10.05,0.00,0.00,0.00,0.00,0.00,10.05
"AMEC","12653-0020A","CP Div Spt Rep Kit",15.00,"0.5166 ",7.75,0.00,0.00,0.00,0.00,0.00,7.75
"AMEC","12653-0200A","WH Div Spt Rep Kit",26.30,"0.5166 ",13.59,0.00,0.00,0.00,0.00,0.00,13.59
"AMEC","12653-0680A","Blackened Bronze Div Spt Rep K",34.60,"0.5166 ",17.87,0.00,0.00,0.00,0.00,0.00,17.87
"AMEC","12653-0940A","GD Div Spt Rep Kit",53.70,"0.5166 ",27.74,0.00,0.00,0.00,0.00,0.00,27.74
"AMEC","12653-0990A","PB Div Spt Rep Kit",19.20,"0.5166 ",9.92,0.00,0.00,0.00,0.00,0.00,9.92
"AMEC","12653-2950A","Satin Div Spt Rep Kit",18.20,"0.5166 ",9.40,0.00,0.00,0.00,0.00,0.00,9.40
"AMEC","12655-0070A","Oring",2.18,"0.5166 ",1.13,0.00,0.00,0.00,0.00,0.00,1.13
"AMEC","12656-0070A","Mtg Kit",10.05,"0.5166 ",5.19,0.00,0.00,0.00,0.00,0.00,5.19
"AMEC","12657-0020A","CP Esch Kit",15.53,"0.5166 ",8.02,0.00,0.00,0.00,0.00,0.00,8.02
"AMEC","12657-0030A","MC Esch Kit",22.00,"0.5166 ",11.37,0.00,0.00,0.00,0.00,0.00,11.37
"AMEC","12657-0200A","WH Esch Kit",15.53,"0.5166 ",8.02,0.00,0.00,0.00,0.00,0.00,8.02
"AMEC","12657-0210A","BN Esch Kit",19.35,"0.5166 ",10.00,0.00,0.00,0.00,0.00,0.00,10.00
"AMEC","12657-0990A","PB Esch Kit",16.96,"0.5166 ",8.76,0.00,0.00,0.00,0.00,0.00,8.76
"AMEC","12658-0020A","CP Gsnk Spt Kit",314.70,"0.5166 ",162.57,0.00,0.00,0.00,0.00,0.00,162.57
"AMEC","12658-0030A","MC Gsnk Spt Kit",104.49,"0.5166 ",53.98,0.00,0.00,0.00,0.00,0.00,53.98
"AMEC","12658-0200A","WH Gsnk Spt Kit",70.26,"0.5166 ",36.30,0.00,0.00,0.00,0.00,0.00,36.30
